Item,Area,Population,Country area,Permanent meadows and pastures,GDP per capita in USD,Production,Domestic supply quantity,Export Quantity,Time
Pigmeat,Czechoslovakia,14334.0,12790.0,1759.0,1137.979759,563.0,609.0,0.0,0
Poultry Meat,Czechoslovakia,14334.0,12790.0,1759.0,1137.979759,103.0,106.0,3.0,0
Bovine Meat,Czechoslovakia,14398.0,12790.0,1748.0,1185.369859,328.0,326.0,29.0,1
"Meat, Other",Czechoslovakia,14398.0,12790.0,1748.0,1185.369859,41.0,41.0,0.0,1
Pigmeat,Czechoslovakia,14398.0,12790.0,1748.0,1185.369859,600.0,663.0,0.0,1
Poultry Meat,Czechoslovakia,14398.0,12790.0,1748.0,1185.369859,111.0,114.0,5.0,1
Bovine Meat,Czechoslovakia,14469.0,12790.0,1748.0,1351.520675,331.0,341.0,19.0,2
"Meat, Other",Czechoslovakia,14469.0,12790.0,1748.0,1351.520675,40.0,40.0,0.0,2
Pigmeat,Czechoslovakia,14469.0,12790.0,1748.0,1351.520675,657.0,675.0,1.0,2
Poultry Meat,Czechoslovakia,14469.0,12790.0,1748.0,1351.520675,119.0,119.0,5.0,2
Bovine Meat,Czechoslovakia,14548.0,12790.0,1749.0,1586.738216,356.0,365.0,16.0,3
"Meat, Other",Czechoslovakia,14548.0,12790.0,1749.0,1586.738216,36.0,36.0,0.0,3
Pigmeat,Czechoslovakia,14548.0,12790.0,1749.0,1586.738216,646.0,672.0,0.0,3
Poultry Meat,Czechoslovakia,14548.0,12790.0,1749.0,1586.738216,124.0,122.0,5.0,3
Bovine Meat,Czechoslovakia,14636.0,12790.0,1752.0,1689.75413,380.0,415.0,6.0,4
"Meat, Other",Czechoslovakia,14636.0,12790.0,1752.0,1689.75413,36.0,36.0,0.0,4
Pigmeat,Czechoslovakia,14636.0,12790.0,1752.0,1689.75413,676.0,679.0,0.0,4
Poultry Meat,Czechoslovakia,14636.0,12790.0,1752.0,1689.75413,129.0,131.0,6.0,4
Bovine Meat,Czechoslovakia,14733.0,12790.0,1748.0,1849.2223,380.0,386.0,16.0,5
"Meat, Other",Czechoslovakia,14733.0,12790.0,1748.0,1849.2223,39.0,39.0,0.0,5
Pigmeat,Czechoslovakia,14733.0,12790.0,1748.0,1849.2223,709.0,712.0,0.0,5
Poultry Meat,Czechoslovakia,14733.0,12790.0,1748.0,1849.2223,134.0,135.0,9.0,5
Bovine Meat,Czechoslovakia,14840.0,12790.0,1732.0,1809.421651,365.0,372.0,13.0,6
"Meat, Other",Czechoslovakia,14840.0,12790.0,1732.0,1809.421651,31.0,31.0,0.0,6
Pigmeat,Czechoslovakia,14840.0,12790.0,1732.0,1809.421651,699.0,706.0,0.0,6
Poultry Meat,Czechoslovakia,14840.0,12790.0,1732.0,1809.421651,141.0,143.0,0.0,6
Bovine Meat,Czechoslovakia,14955.0,12790.0,1717.0,2575.652496,365.0,369.0,24.0,7
"Meat, Other",Czechoslovakia,14955.0,12790.0,1717.0,2575.652496,31.0,31.0,0.0,7
Pigmeat,Czechoslovakia,14955.0,12790.0,1717.0,2575.652496,751.0,756.0,0.0,7
Poultry Meat,Czechoslovakia,14955.0,12790.0,1717.0,2575.652496,152.0,146.0,8.0,7
Bovine Meat,Czechoslovakia,15070.0,12790.0,1706.0,2818.486225,371.0,384.0,18.0,8
"Meat, Other",Czechoslovakia,15070.0,12790.0,1706.0,2818.486225,30.0,30.0,0.0,8
Pigmeat,Czechoslovakia,15070.0,12790.0,1706.0,2818.486225,798.0,804.0,0.0,8
Poultry Meat,Czechoslovakia,15070.0,12790.0,1706.0,2818.486225,161.0,148.0,2.0,8
Bovine Meat,Czechoslovakia,15174.0,12790.0,1710.0,3010.255855,381.0,366.0,40.0,9
"Meat, Other",Czechoslovakia,15174.0,12790.0,1710.0,3010.255855,32.0,32.0,0.0,9
Pigmeat,Czechoslovakia,15174.0,12790.0,1710.0,3010.255855,797.0,826.0,0.0,9
Poultry Meat,Czechoslovakia,15174.0,12790.0,1710.0,3010.255855,168.0,155.0,17.0,9
Bovine Meat,Czechoslovakia,15260.0,12790.0,1682.0,3137.100007,385.0,380.0,39.0,10
"Meat, Other",Czechoslovakia,15260.0,12790.0,1682.0,3137.100007,34.0,34.0,0.0,10
Pigmeat,Czechoslovakia,15260.0,12790.0,1682.0,3137.100007,819.0,843.0,0.0,10
Poultry Meat,Czechoslovakia,15260.0,12790.0,1682.0,3137.100007,172.0,164.0,11.0,10
Bovine Meat,Czechoslovakia,15324.0,12790.0,1673.0,3319.769308,373.0,370.0,52.0,11
"Meat, Other",Czechoslovakia,15324.0,12790.0,1673.0,3319.769308,37.0,37.0,0.0,11
Pigmeat,Czechoslovakia,15324.0,12790.0,1673.0,3319.769308,853.0,868.0,0.0,11
Poultry Meat,Czechoslovakia,15324.0,12790.0,1673.0,3319.769308,170.0,160.0,16.0,11
Bovine Meat,Czechoslovakia,15368.0,12790.0,1669.0,3335.691193,373.0,390.0,13.0,12
"Meat, Other",Czechoslovakia,15368.0,12790.0,1669.0,3335.691193,39.0,36.0,3.0,12
Pigmeat,Czechoslovakia,15368.0,12790.0,1669.0,3335.691193,743.0,739.0,35.0,12
Poultry Meat,Czechoslovakia,15368.0,12790.0,1669.0,3335.691193,170.0,153.0,11.0,12
Bovine Meat,Czechoslovakia,15398.0,12790.0,1665.0,3303.523195,384.0,383.0,27.0,13
"Meat, Other",Czechoslovakia,15398.0,12790.0,1665.0,3303.523195,45.0,42.0,3.0,13
Pigmeat,Czechoslovakia,15398.0,12790.0,1665.0,3303.523195,796.0,826.0,16.0,13
Poultry Meat,Czechoslovakia,15398.0,12790.0,1665.0,3303.523195,167.0,159.0,19.0,13
Bovine Meat,Czechoslovakia,15422.0,12790.0,1661.0,2978.818772,406.0,384.0,50.0,14
"Meat, Other",Czechoslovakia,15422.0,12790.0,1661.0,2978.818772,48.0,44.0,4.0,14
Pigmeat,Czechoslovakia,15422.0,12790.0,1661.0,2978.818772,814.0,837.0,15.0,14
Poultry Meat,Czechoslovakia,15422.0,12790.0,1661.0,2978.818772,169.0,154.0,15.0,14
Bovine Meat,Czechoslovakia,15445.0,12790.0,1641.0,2972.931605,413.0,393.0,45.0,15
"Meat, Other",Czechoslovakia,15445.0,12790.0,1641.0,2972.931605,42.0,39.0,3.0,15
Pigmeat,Czechoslovakia,15445.0,12790.0,1641.0,2972.931605,823.0,848.0,18.0,15
Poultry Meat,Czechoslovakia,15445.0,12790.0,1641.0,2972.931605,172.0,159.0,13.0,15
Bovine Meat,Czechoslovakia,15469.0,12790.0,1641.0,3482.539922,412.0,372.0,51.0,16
"Meat, Other",Czechoslovakia,15469.0,12790.0,1641.0,3482.539922,45.0,39.0,6.0,16
Pigmeat,Czechoslovakia,15469.0,12790.0,1641.0,3482.539922,832.0,831.0,19.0,16
Poultry Meat,Czechoslovakia,15469.0,12790.0,1641.0,3482.539922,176.0,167.0,10.0,16
Bovine Meat,Czechoslovakia,15491.0,12790.0,1644.0,3903.113503,412.0,370.0,47.0,17
"Meat, Other",Czechoslovakia,15491.0,12790.0,1644.0,3903.113503,42.0,39.0,3.0,17
Pigmeat,Czechoslovakia,15491.0,12790.0,1644.0,3903.113503,858.0,859.0,13.0,17
Poultry Meat,Czechoslovakia,15491.0,12790.0,1644.0,3903.113503,194.0,181.0,14.0,17
Bovine Meat,Czechoslovakia,15513.0,12790.0,1646.0,3850.691142,405.0,374.0,52.0,18
"Meat, Other",Czechoslovakia,15513.0,12790.0,1646.0,3850.691142,42.0,38.0,4.0,18
Pigmeat,Czechoslovakia,15513.0,12790.0,1646.0,3850.691142,915.0,916.0,15.0,18
Poultry Meat,Czechoslovakia,15513.0,12790.0,1646.0,3850.691142,199.0,189.0,13.0,18
Bovine Meat,Czechoslovakia,15537.0,12790.0,1641.0,3770.503727,407.0,379.0,32.0,19
"Meat, Other",Czechoslovakia,15537.0,12790.0,1641.0,3770.503727,37.0,33.0,4.0,19
Pigmeat,Czechoslovakia,15537.0,12790.0,1641.0,3770.503727,934.0,922.0,20.0,19
Poultry Meat,Czechoslovakia,15537.0,12790.0,1641.0,3770.503727,233.0,222.0,12.0,19
Bovine Meat,Denmark,4930.0,4292.0,299.0,3468.532586,192.0,117.0,76.0,0
"Meat, Other",Denmark,4930.0,4292.0,299.0,3468.532586,3.0,2.0,1.0,0
Pigmeat,Denmark,4930.0,4292.0,299.0,3468.532586,717.0,146.0,588.0,0
Poultry Meat,Denmark,4930.0,4292.0,299.0,3468.532586,79.0,29.0,49.0,0
Bovine Meat,Denmark,4960.0,4292.0,289.0,3854.526434,195.0,113.0,84.0,1
"Meat, Other",Denmark,4960.0,4292.0,289.0,3854.526434,3.0,3.0,1.0,1
Pigmeat,Denmark,4960.0,4292.0,289.0,3854.526434,764.0,153.0,638.0,1
Poultry Meat,Denmark,4960.0,4292.0,289.0,3854.526434,80.0,25.0,55.0,1
Bovine Meat,Denmark,4989.0,4292.0,290.0,4664.132506,171.0,99.0,72.0,2
"Meat, Other",Denmark,4989.0,4292.0,290.0,4664.132506,3.0,3.0,1.0,2
Pigmeat,Denmark,4989.0,4292.0,290.0,4664.132506,765.0,171.0,617.0,2
Poultry Meat,Denmark,4989.0,4292.0,290.0,4664.132506,85.0,33.0,52.0,2
Bovine Meat,Denmark,5016.0,4292.0,318.0,6135.595425,185.0,88.0,98.0,3
"Meat, Other",Denmark,5016.0,4292.0,318.0,6135.595425,3.0,1.0,3.0,3
Pigmeat,Denmark,5016.0,4292.0,318.0,6135.595425,774.0,175.0,576.0,3
Poultry Meat,Denmark,5016.0,4292.0,318.0,6135.595425,90.0,40.0,50.0,3
Bovine Meat,Denmark,5040.0,4292.0,277.0,6786.520192,238.0,125.0,115.0,4
"Meat, Other",Denmark,5040.0,4292.0,277.0,6786.520192,4.0,1.0,3.0,4
Pigmeat,Denmark,5040.0,4292.0,277.0,6786.520192,744.0,179.0,560.0,4
Poultry Meat,Denmark,5040.0,4292.0,277.0,6786.520192,95.0,38.0,57.0,4
Bovine Meat,Denmark,5061.0,4292.0,277.0,8001.805861,236.0,80.0,147.0,5
"Meat, Other",Denmark,5061.0,4292.0,277.0,8001.805861,4.0,2.0,2.0,5
Pigmeat,Denmark,5061.0,4292.0,277.0,8001.805861,734.0,198.0,545.0,5
Poultry Meat,Denmark,5061.0,4292.0,277.0,8001.805861,90.0,35.0,55.0,5
Bovine Meat,Denmark,5080.0,4292.0,266.0,8776.865619,242.0,82.0,125.0,6
"Meat, Other",Denmark,5080.0,4292.0,266.0,8776.865619,4.0,3.0,2.0,6
Pigmeat,Denmark,5080.0,4292.0,266.0,8776.865619,716.0,202.0,512.0,6
Poultry Meat,Denmark,5080.0,4292.0,266.0,8776.865619,97.0,46.0,52.0,6
Bovine Meat,Denmark,5096.0,4292.0,279.0,9771.997293,243.0,80.0,158.0,7
"Meat, Other",Denmark,5096.0,4292.0,279.0,9771.997293,5.0,3.0,3.0,7
Pigmeat,Denmark,5096.0,4292.0,279.0,9771.997293,744.0,213.0,540.0,7
Poultry Meat,Denmark,5096.0,4292.0,279.0,9771.997293,103.0,43.0,61.0,7
Bovine Meat,Denmark,5109.0,4292.0,268.0,11815.12728,238.0,86.0,182.0,8
"Meat, Other",Denmark,5109.0,4292.0,268.0,11815.12728,5.0,3.0,3.0,8
Pigmeat,Denmark,5109.0,4292.0,268.0,11815.12728,812.0,234.0,568.0,8
Poultry Meat,Denmark,5109.0,4292.0,268.0,11815.12728,98.0,47.0,52.0,8
Bovine Meat,Denmark,5118.0,4292.0,264.0,13745.077913,253.0,76.0,205.0,9
"Meat, Other",Denmark,5118.0,4292.0,264.0,13745.077913,5.0,3.0,3.0,9
Pigmeat,Denmark,5118.0,4292.0,264.0,13745.077913,899.0,245.0,640.0,9
Poultry Meat,Denmark,5118.0,4292.0,264.0,13745.077913,100.0,43.0,57.0,9
Bovine Meat,Denmark,5123.0,4292.0,252.0,13877.378133,245.0,86.0,161.0,10
"Meat, Other",Denmark,5123.0,4292.0,252.0,13877.378133,5.0,3.0,3.0,10
Pigmeat,Denmark,5123.0,4292.0,252.0,13877.378133,972.0,283.0,675.0,10
Poultry Meat,Denmark,5123.0,4292.0,252.0,13877.378133,96.0,44.0,53.0,10
Bovine Meat,Denmark,5125.0,4292.0,246.0,12069.111145,237.0,75.0,165.0,11
"Meat, Other",Denmark,5125.0,4292.0,246.0,12069.111145,5.0,2.0,3.0,11
Pigmeat,Denmark,5125.0,4292.0,246.0,12069.111145,987.0,262.0,726.0,11
Poultry Meat,Denmark,5125.0,4292.0,246.0,12069.111145,104.0,47.0,57.0,11
Bovine Meat,Denmark,5123.0,4292.0,243.0,11784.598579,230.0,71.0,161.0,12
"Meat, Other",Denmark,5123.0,4292.0,243.0,11784.598579,4.0,2.0,3.0,12
Pigmeat,Denmark,5123.0,4292.0,243.0,11784.598579,986.0,251.0,724.0,12
Poultry Meat,Denmark,5123.0,4292.0,243.0,11784.598579,110.0,49.0,62.0,12
Bovine Meat,Denmark,5119.0,4292.0,236.0,11834.681563,239.0,73.0,163.0,13
"Meat, Other",Denmark,5119.0,4292.0,236.0,11834.681563,4.0,2.0,2.0,13
Pigmeat,Denmark,5119.0,4292.0,236.0,11834.681563,1043.0,263.0,781.0,13
Poultry Meat,Denmark,5119.0,4292.0,236.0,11834.681563,112.0,52.0,61.0,13
Bovine Meat,Denmark,5115.0,4292.0,228.0,11541.038963,247.0,70.0,172.0,14
"Meat, Other",Denmark,5115.0,4292.0,228.0,11541.038963,4.0,2.0,2.0,14
Pigmeat,Denmark,5115.0,4292.0,228.0,11541.038963,1035.0,276.0,764.0,14
Poultry Meat,Denmark,5115.0,4292.0,228.0,11541.038963,110.0,55.0,57.0,14
Bovine Meat,Denmark,5113.0,4292.0,220.0,12239.321233,236.0,77.0,157.0,15
"Meat, Other",Denmark,5113.0,4292.0,220.0,12239.321233,4.0,3.0,2.0,15
Pigmeat,Denmark,5113.0,4292.0,220.0,12239.321233,1083.0,291.0,805.0,15
Poultry Meat,Denmark,5113.0,4292.0,220.0,12239.321233,115.0,58.0,60.0,15
Bovine Meat,Denmark,5114.0,4292.0,215.0,17205.020936,243.0,86.0,185.0,16
"Meat, Other",Denmark,5114.0,4292.0,215.0,17205.020936,4.0,3.0,2.0,16
Pigmeat,Denmark,5114.0,4292.0,215.0,17205.020936,1144.0,325.0,809.0,16
Poultry Meat,Denmark,5114.0,4292.0,215.0,17205.020936,115.0,65.0,55.0,16
Bovine Meat,Denmark,5116.0,4292.0,210.0,21363.651997,235.0,85.0,167.0,17
"Meat, Other",Denmark,5116.0,4292.0,210.0,21363.651997,4.0,3.0,2.0,17
Pigmeat,Denmark,5116.0,4292.0,210.0,21363.651997,1149.0,340.0,804.0,17
Poultry Meat,Denmark,5116.0,4292.0,210.0,21363.651997,113.0,62.0,55.0,17
Bovine Meat,Denmark,5122.0,4292.0,217.0,22541.944105,217.0,90.0,165.0,18
"Meat, Other",Denmark,5122.0,4292.0,217.0,22541.944105,4.0,4.0,0.0,18
Pigmeat,Denmark,5122.0,4292.0,217.0,22541.944105,1167.0,338.0,819.0,18
Poultry Meat,Denmark,5122.0,4292.0,217.0,22541.944105,116.0,62.0,59.0,18
Bovine Meat,Denmark,5129.0,4292.0,219.0,21895.430325,205.0,102.0,152.0,19
"Meat, Other",Denmark,5129.0,4292.0,219.0,21895.430325,4.0,4.0,0.0,19
Pigmeat,Denmark,5129.0,4292.0,219.0,21895.430325,1163.0,333.0,867.0,19
Poultry Meat,Denmark,5129.0,4292.0,219.0,21895.430325,128.0,66.0,67.0,19
Bovine Meat,Denmark,5140.0,4292.0,217.0,26872.370748,202.0,100.0,126.0,20
"Meat, Other",Denmark,5140.0,4292.0,217.0,26872.370748,4.0,4.0,0.0,20
Pigmeat,Denmark,5140.0,4292.0,217.0,26872.370748,1208.0,333.0,896.0,20
Poultry Meat,Denmark,5140.0,4292.0,217.0,26872.370748,131.0,63.0,76.0,20
Bovine Meat,Denmark,5154.0,4292.0,212.0,26990.466038,213.0,123.0,135.0,21
"Meat, Other",Denmark,5154.0,4292.0,212.0,26990.466038,4.0,4.0,0.0,21
Poultry Meat,Denmark,5154.0,4292.0,212.0,26990.466038,139.0,72.0,76.0,21
Bovine Meat,Denmark,5171.0,4292.0,208.0,29546.077859,217.0,110.0,152.0,22
"Meat, Other",Denmark,5171.0,4292.0,208.0,29546.077859,4.0,4.0,0.0,22
Poultry Meat,Denmark,5171.0,4292.0,208.0,29546.077859,155.0,76.0,92.0,22
Bovine Meat,Denmark,5191.0,4292.0,197.0,27570.459258,203.0,106.0,159.0,23
"Meat, Other",Denmark,5191.0,4292.0,197.0,27570.459258,4.0,4.0,1.0,23
Poultry Meat,Denmark,5191.0,4292.0,197.0,27570.459258,167.0,68.0,112.0,23
Bovine Meat,Denmark,5211.0,4292.0,317.0,29951.968505,189.0,101.0,162.0,24
"Meat, Other",Denmark,5211.0,4292.0,317.0,29951.968505,5.0,5.0,1.0,24
Poultry Meat,Denmark,5211.0,4292.0,317.0,29951.968505,172.0,81.0,111.0,24
Bovine Meat,Denmark,5233.0,4292.0,398.0,35339.25892,182.0,95.0,130.0,25
"Meat, Other",Denmark,5233.0,4292.0,398.0,35339.25892,4.0,6.0,1.0,25
Poultry Meat,Denmark,5233.0,4292.0,398.0,35339.25892,173.0,88.0,110.0,25
Bovine Meat,Denmark,5254.0,4292.0,385.0,35698.822926,178.0,101.0,128.0,26
"Meat, Other",Denmark,5254.0,4292.0,385.0,35698.822926,4.0,6.0,1.0,26
Poultry Meat,Denmark,5254.0,4292.0,385.0,35698.822926,170.0,84.0,110.0,26
Bovine Meat,Denmark,5277.0,4292.0,315.0,32883.486545,175.0,104.0,158.0,27
"Meat, Other",Denmark,5277.0,4292.0,315.0,32883.486545,4.0,5.0,1.0,27
Poultry Meat,Denmark,5277.0,4292.0,315.0,32883.486545,176.0,98.0,110.0,27
Bovine Meat,Denmark,5299.0,4292.0,298.0,33400.924295,162.0,115.0,132.0,28
"Meat, Other",Denmark,5299.0,4292.0,298.0,33400.924295,4.0,4.0,1.0,28
Poultry Meat,Denmark,5299.0,4292.0,298.0,33400.924295,190.0,90.0,127.0,28
Bovine Meat,Denmark,5319.0,4292.0,342.0,33452.829335,157.0,135.0,120.0,29
"Meat, Other",Denmark,5319.0,4292.0,342.0,33452.829335,4.0,4.0,1.0,29
Poultry Meat,Denmark,5319.0,4292.0,342.0,33452.829335,202.0,97.0,127.0,29
Bovine Meat,Denmark,5338.0,4292.0,358.0,30737.398714,154.0,128.0,117.0,30
"Meat, Other",Denmark,5338.0,4292.0,358.0,30737.398714,4.0,4.0,1.0,30
Poultry Meat,Denmark,5338.0,4292.0,358.0,30737.398714,202.0,95.0,130.0,30
Bovine Meat,Denmark,5355.0,4292.0,376.0,30740.317591,153.0,134.0,90.0,31
"Meat, Other",Denmark,5355.0,4292.0,376.0,30740.317591,4.0,4.0,1.0,31
Poultry Meat,Denmark,5355.0,4292.0,376.0,30740.317591,216.0,116.0,130.0,31
Bovine Meat,Denmark,5369.0,4292.0,382.0,33211.546061,154.0,149.0,100.0,32
"Meat, Other",Denmark,5369.0,4292.0,382.0,33211.546061,4.0,4.0,1.0,32
Poultry Meat,Denmark,5369.0,4292.0,382.0,33211.546061,218.0,115.0,136.0,32
Bovine Meat,Denmark,5383.0,4292.0,384.0,40415.598374,147.0,156.0,89.0,33
"Meat, Other",Denmark,5383.0,4292.0,384.0,40415.598374,4.0,4.0,1.0,33
Poultry Meat,Denmark,5383.0,4292.0,384.0,40415.598374,200.0,103.0,134.0,33
Bovine Meat,Denmark,5399.0,4292.0,370.0,46416.919819,150.0,159.0,96.0,34
"Meat, Other",Denmark,5399.0,4292.0,370.0,46416.919819,4.0,5.0,0.0,34
Poultry Meat,Denmark,5399.0,4292.0,370.0,46416.919819,193.0,96.0,143.0,34
Bovine Meat,Denmark,5418.0,4292.0,368.0,48648.209816,136.0,148.0,84.0,35
"Meat, Other",Denmark,5418.0,4292.0,368.0,48648.209816,4.0,5.0,0.0,35
Poultry Meat,Denmark,5418.0,4292.0,368.0,48648.209816,188.0,114.0,126.0,35
Bovine Meat,Denmark,5441.0,4292.0,357.0,51830.895452,129.0,146.0,81.0,36
"Meat, Other",Denmark,5441.0,4292.0,357.0,51830.895452,4.0,5.0,0.0,36
Poultry Meat,Denmark,5441.0,4292.0,357.0,51830.895452,171.0,108.0,115.0,36
Bovine Meat,Denmark,5468.0,4292.0,350.0,58291.894299,130.0,146.0,79.0,37
"Meat, Other",Denmark,5468.0,4292.0,350.0,58291.894299,4.0,13.0,7.0,37
Poultry Meat,Denmark,5468.0,4292.0,350.0,58291.894299,177.0,115.0,110.0,37
Bovine Meat,Denmark,5496.0,4292.0,261.0,64214.953884,129.0,151.0,86.0,38
"Meat, Other",Denmark,5496.0,4292.0,261.0,64214.953884,4.0,5.0,1.0,38
Poultry Meat,Denmark,5496.0,4292.0,261.0,64214.953884,181.0,129.0,107.0,38
Bovine Meat,Denmark,5524.0,4292.0,197.0,58128.307483,128.0,145.0,105.0,39
"Meat, Other",Denmark,5524.0,4292.0,197.0,58128.307483,4.0,6.0,1.0,39
Poultry Meat,Denmark,5524.0,4292.0,197.0,58128.307483,173.0,109.0,121.0,39
Bovine Meat,Denmark,5550.85,4292.0,200.0,58008.293759,133.0,160.0,117.0,40
"Meat, Other",Denmark,5550.85,4292.0,200.0,58008.293759,6.0,9.0,2.0,40
Poultry Meat,Denmark,5550.85,4292.0,200.0,58008.293759,187.0,127.0,129.0,40
Bovine Meat,Denmark,5576.02,4292.0,187.0,61693.355545,134.0,163.0,115.0,41
"Meat, Other",Denmark,5576.02,4292.0,187.0,61693.355545,5.0,9.0,3.0,41
Poultry Meat,Denmark,5576.02,4292.0,187.0,61693.355545,189.0,130.0,120.0,41
Bovine Meat,Denmark,5600.96,4292.0,200.0,58409.451634,127.0,153.0,105.0,42
"Meat, Other",Denmark,5600.96,4292.0,200.0,58409.451634,5.0,7.0,3.0,42
Poultry Meat,Denmark,5600.96,4292.0,200.0,58409.451634,188.0,124.0,141.0,42
Bovine Meat,Denmark,5625.39,4292.0,195.0,61077.489211,128.0,161.0,101.0,43
"Meat, Other",Denmark,5625.39,4292.0,195.0,61077.489211,5.0,3.0,6.0,43
Poultry Meat,Denmark,5625.39,4292.0,195.0,61077.489211,168.0,127.0,122.0,43
Bovine Meat,Denmark,5650.65,4292.0,193.0,62469.529029,126.0,148.0,100.0,44
"Meat, Other",Denmark,5650.65,4292.0,193.0,62469.529029,8.0,5.0,9.0,44
Poultry Meat,Denmark,5650.65,4292.0,193.0,62469.529029,160.0,135.0,132.0,44
Bovine Meat,Denmark,5677.8,4292.0,255.0,53308.197555,120.0,148.0,96.0,45
"Meat, Other",Denmark,5677.8,4292.0,255.0,53308.197555,6.0,5.0,10.0,45
Poultry Meat,Denmark,5677.8,4292.0,255.0,53308.197555,145.0,105.0,115.0,45
Bovine Meat,Denmark,5706.86,4292.0,226.0,54866.615602,129.0,149.0,100.0,46
"Meat, Other",Denmark,5706.86,4292.0,226.0,54866.615602,6.0,8.0,7.0,46
Poultry Meat,Denmark,5706.86,4292.0,226.0,54866.615602,154.0,150.0,122.0,46
Bovine Meat,Denmark,5737.28,4292.0,235.0,57888.203513,124.0,136.0,104.0,47
"Meat, Other",Denmark,5737.28,4292.0,235.0,57888.203513,5.0,7.0,5.0,47
Poultry Meat,Denmark,5737.28,4292.0,235.0,57888.203513,152.0,146.0,139.0,47
Bovine Meat,Denmark,5766.69,4292.0,213.0,61879.772266,129.0,137.0,108.0,48
"Meat, Other",Denmark,5766.69,4292.0,213.0,61879.772266,5.0,8.0,4.0,48
Poultry Meat,Denmark,5766.69,4292.0,213.0,61879.772266,156.0,155.0,142.0,48
Bovine Meat,Denmark,5795.88,4292.0,206.687,59783.649339,126.0,142.0,97.0,49
"Meat, Other",Denmark,5795.88,4292.0,206.687,59783.649339,1.0,5.0,4.0,49
Poultry Meat,Denmark,5795.88,4292.0,206.687,59783.649339,158.0,146.0,154.0,49
Bovine Meat,Denmark,5825.64,4292.0,222.405,60975.684823,122.0,144.0,93.0,50
"Meat, Other",Denmark,5825.64,4292.0,222.405,60975.684823,0.0,3.0,4.0,50
Poultry Meat,Denmark,5825.64,4292.0,222.405,60975.684823,166.0,143.0,139.0,50
Bovine Meat,Denmark,5854.24,4292.0,234.0,68036.71745,123.0,136.0,100.0,51
"Meat, Other",Denmark,5854.24,4292.0,234.0,68036.71745,1.0,4.0,3.0,51
Poultry Meat,Denmark,5854.24,4292.0,234.0,68036.71745,163.0,113.0,148.0,51
Bovine Meat,Estonia,1523.0,4523.0,247.0,2817.269754,45.0,39.0,7.0,22
"Meat, Other",Estonia,1523.0,4523.0,247.0,2817.269754,0.0,1.0,0.0,22
Pigmeat,Estonia,1523.0,4523.0,247.0,2817.269754,50.0,45.0,1.0,22
Poultry Meat,Estonia,1523.0,4523.0,247.0,2817.269754,10.0,10.0,0.0,22
Bovine Meat,Estonia,1491.0,4523.0,243.0,2783.441967,43.0,39.0,5.0,23
"Meat, Other",Estonia,1491.0,4523.0,243.0,2783.441967,0.0,1.0,1.0,23
Pigmeat,Estonia,1491.0,4523.0,243.0,2783.441967,35.0,32.0,5.0,23
Poultry Meat,Estonia,1491.0,4523.0,243.0,2783.441967,5.0,6.0,1.0,23
Bovine Meat,Estonia,1460.0,4523.0,140.0,2840.459991,31.0,31.0,2.0,24
"Meat, Other",Estonia,1460.0,4523.0,140.0,2840.459991,0.0,1.0,0.0,24
Pigmeat,Estonia,1460.0,4523.0,140.0,2840.459991,30.0,37.0,5.0,24
Poultry Meat,Estonia,1460.0,4523.0,140.0,2840.459991,6.0,10.0,1.0,24
Bovine Meat,Estonia,1433.0,4523.0,105.0,3080.903921,26.0,25.0,2.0,25
"Meat, Other",Estonia,1433.0,4523.0,105.0,3080.903921,0.0,0.0,0.0,25
Pigmeat,Estonia,1433.0,4523.0,105.0,3080.903921,35.0,36.0,4.0,25
Poultry Meat,Estonia,1433.0,4523.0,105.0,3080.903921,6.0,11.0,4.0,25
Bovine Meat,Estonia,1413.0,4523.0,109.0,3333.940942,22.0,26.0,0.0,26
"Meat, Other",Estonia,1413.0,4523.0,109.0,3333.940942,0.0,1.0,0.0,26
Pigmeat,Estonia,1413.0,4523.0,109.0,3333.940942,32.0,39.0,2.0,26
Poultry Meat,Estonia,1413.0,4523.0,109.0,3333.940942,4.0,17.0,2.0,26
Bovine Meat,Estonia,1397.0,4523.0,123.0,3626.046288,19.0,21.0,2.0,27
"Meat, Other",Estonia,1397.0,4523.0,123.0,3626.046288,0.0,1.0,0.0,27
Pigmeat,Estonia,1397.0,4523.0,123.0,3626.046288,30.0,33.0,25.0,27
Poultry Meat,Estonia,1397.0,4523.0,123.0,3626.046288,4.0,23.0,60.0,27
Bovine Meat,Estonia,1386.0,4523.0,144.0,4018.060594,19.0,23.0,4.0,28
"Meat, Other",Estonia,1386.0,4523.0,144.0,4018.060594,0.0,1.0,0.0,28
Pigmeat,Estonia,1386.0,4523.0,144.0,4018.060594,32.0,36.0,17.0,28
Poultry Meat,Estonia,1386.0,4523.0,144.0,4018.060594,8.0,29.0,100.0,28
Bovine Meat,Estonia,1376.0,4523.0,130.0,4106.7789,22.0,21.0,2.0,29
"Meat, Other",Estonia,1376.0,4523.0,130.0,4106.7789,0.0,0.0,0.0,29
Pigmeat,Estonia,1376.0,4523.0,130.0,4106.7789,31.0,46.0,6.0,29
Poultry Meat,Estonia,1376.0,4523.0,130.0,4106.7789,8.0,19.0,66.0,29
Bovine Meat,Estonia,1366.0,4523.0,131.0,4073.950988,15.0,19.0,3.0,30
"Meat, Other",Estonia,1366.0,4523.0,131.0,4073.950988,0.0,0.0,0.0,30
